iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1.000000,1.000000,59.343955,60.177838,50.530124,50.753522,45.654560,36.369759,26.516713,24.319866,24.261059,17.418924,16.290811,15.810611,13.075026,12.436897,12.627806,11.795995,11.608434,10.208008,8.206064,6.601404,4.769476,4.136906,4.160851,23.227534,16.761484,63.273624,68.513130,60.927357,45.042845,37.333382,24.181679,15.826500,12.697597,12.081088,11.589330,10.009179,7.752570,3.714808,4.805092,6.810095,6.612711,4.160851,3.817546,3.270854,2.124477,60.536253,44.864141,24.335605,12.583475,10.238572,8.082495,6.471439,4.924665,4.117588,2.096298,60.998879,49.294572,24.326935,13.227376,4.119628,20.998705,67.474051,60.854823,56.801046,46.402614,30.643093,27.318611,25.704062,13.845153,12.548332,11.742383,8.006973,4.294287,4.118769,68.129287,60.704007,44.884807,37.130595,24.057277,15.749485,12.631483,11.512999,9.958982,7.701304,3.885971,6.590620,4.146166,3.799885,3.253155,
1.000000,2.000000,58.442542,59.259919,49.931584,50.102368,45.139465,36.390128,27.518929,25.460431,25.411251,17.635328,16.421337,15.906875,13.103699,12.454514,12.645557,11.809566,11.623075,10.466437,10.315617,8.778034,6.349456,5.546718,5.580403,23.531210,16.928973,62.425426,67.508009,60.007406,44.531880,37.341437,25.336878,15.919617,12.715286,12.093373,11.604269,10.406323,10.163036,4.405321,5.976612,8.861031,8.792770,5.580403,5.123775,4.282331,2.627712,59.625585,44.514732,25.416027,12.603194,10.463408,10.257813,8.604420,6.551844,5.522481,2.596596,60.082740,48.738972,25.291120,13.257217,5.524192,21.415596,66.509941,59.934687,56.010795,45.852856,31.543104,28.542619,26.904359,13.886956,12.565177,11.755707,10.254245,5.749416,5.524980,67.129837,59.787425,44.375631,37.138929,25.206258,15.842256,12.649081,11.527876,10.354730,10.095706,4.668195,8.763319,5.560701,5.100077,4.259192,
1.000000,3.000000,67.474953,68.418951,58.263801,58.421657,52.858138,42.811087,31.853826,29.409411,29.350123,21.256068,19.924848,19.304840,15.931137,15.179706,15.418645,14.465858,14.246400,12.560247,10.344226,8.573170,6.342498,5.691816,5.728947,27.764541,20.524029,70.637976,76.895724,69.356345,52.149041,43.976610,29.257157,19.328807,15.508357,14.804223,14.223666,12.383145,9.917252,4.119911,5.608401,8.630194,8.586480,5.728947,5.322630,4.326180,2.437550,68.904335,52.053568,29.395074,15.334863,12.580138,10.224604,8.402365,6.516806,5.672289,2.410975,69.453799,56.909932,29.356138,16.097815,5.668298,25.304072,75.797063,69.262565,65.134483,53.630163,36.511228,32.826652,30.998366,16.837533,15.331686,14.396370,10.177058,5.858264,5.678877,76.465023,69.102005,51.965760,43.736511,29.107020,19.234790,15.428168,14.130297,12.322489,9.851027,4.356797,8.557279,5.708725,5.298056,4.302847,
1.000000,4.000000,66.775209,67.706552,57.777219,57.888635,52.428941,42.830477,32.779610,30.471843,30.422713,21.725168,20.331336,19.672264,16.066886,15.249176,15.485851,14.506259,14.290250,13.403190,13.527502,11.946130,8.869589,8.102706,8.160299,28.140864,20.967625,70.009236,76.141317,68.640233,51.722931,43.984047,30.334849,19.694455,15.571488,14.840490,14.268435,13.517884,13.571725,4.902418,7.053741,11.615696,11.963745,8.160299,7.604674,5.860771,2.946493,68.195380,51.771092,30.406119,15.420110,13.346661,13.511945,11.700783,9.095728,8.080468,2.921224,68.740022,56.457477,30.284665,16.242599,8.070605,25.800799,75.074367,68.546574,64.499419,53.174147,37.311332,33.944099,32.106579,17.040319,15.390316,14.436033,13.586935,8.306524,8.092970,75.714862,68.388517,51.541168,43.744235,30.178944,19.598729,15.491083,14.174901,13.452069,13.480769,5.255059,11.922755,8.131469,7.569610,5.829833,
2.000000,1.000000,89.375044,90.477562,89.100057,88.944507,84.516620,77.260279,72.530457,72.151838,72.236493,61.358791,59.255042,57.793341,50.628730,48.042509,48.822976,45.013772,44.574795,46.352779,32.592471,28.751420,19.554656,16.325519,16.398166,64.841814,60.540945,85.539316,95.228922,92.404062,83.405924,79.635519,72.175916,57.874497,49.090068,45.760296,44.563596,46.555933,31.719356,7.846181,12.845259,25.724577,28.770684,16.398166,14.653246,10.338311,4.245105,91.942229,84.271299,71.660541,48.727894,46.130217,32.278907,28.307357,20.428533,16.209568,4.231460,92.820384,88.059334,71.215873,51.523716,16.241551,63.769685,94.695024,92.187135,94.340021,84.491884,74.093973,74.635126,73.536169,53.059549,48.372712,44.720348,32.324262,17.103665,16.190756,94.695794,92.064304,83.109952,79.196637,71.800971,57.593041,48.839050,44.278154,46.338743,31.507172,8.635438,28.670579,16.339636,14.586332,10.285386,
2.000000,2.000000,88.206092,89.302436,87.246751,87.082427,82.560661,75.190418,70.105139,69.551662,69.625947,58.804434,56.784663,55.391888,48.530545,46.104625,46.854934,43.300959,42.884627,44.900768,33.678651,30.284208,20.996973,17.932121,18.023109,62.579239,58.009861,84.846432,94.337407,91.168951,81.471589,77.487221,69.560377,55.470158,47.114204,44.014508,42.872608,45.287432,33.244174,8.147718,13.416774,27.036285,30.305165,18.023109,16.270347,11.407132,4.578433,90.704223,82.330369,69.080962,46.734778,44.640492,33.465165,29.803827,21.852813,17.822980,4.567633,91.563623,86.182231,68.652035,49.354270,17.843223,61.411111,93.763115,90.959394,92.618262,82.588642,71.982404,72.205434,71.002935,50.822072,46.438158,43.021298,33.614404,18.680255,17.814421,93.809274,90.833697,81.182695,77.060434,69.199220,55.200376,46.873151,42.597767,45.076063,33.021570,8.979634,30.199597,17.958858,16.196001,11.349108,
2.000000,3.000000,87.409067,88.411184,91.385668,91.101162,87.869471,83.804569,88.524145,91.043248,91.229753,79.364894,75.980980,73.933104,63.562518,58.952783,59.820179,53.406803,52.933602,62.525020,37.804518,33.227930,21.136669,15.109334,15.099061,78.234088,77.853850,84.737181,93.602660,90.366223,86.744697,86.430654,91.257743,73.985227,60.066476,54.194193,52.967834,62.667591,35.892214,9.398951,15.312725,29.827692,33.231992,15.099061,12.654348,9.424281,4.579123,90.035065,88.274918,90.293785,60.461799,62.189396,37.101197,33.011931,22.594140,14.890149,4.563485,90.886173,90.698375,89.338887,65.309053,15.004194,78.908485,93.385822,90.146418,94.907501,87.446514,84.981132,90.981933,91.390708,67.780996,58.958238,53.019053,36.852987,16.470631,14.804363,93.078618,90.034595,86.435144,85.956980,90.782727,73.627190,59.761468,52.635550,62.360394,35.651128,10.331167,33.118765,15.044819,12.596790,9.373565,
2.000000,4.000000,83.362590,84.335361,86.194785,85.863987,82.654790,78.792633,83.678548,86.067677,86.239558,75.346104,72.289824,70.415383,60.893817,56.586669,57.420803,51.418077,50.992516,60.948729,38.835900,34.504032,22.158995,16.145541,16.146169,74.183413,73.993013,81.716268,89.974139,86.136659,81.589308,81.229532,86.259049,70.466792,57.661572,52.144502,51.027140,61.317931,37.262767,9.705703,15.876257,30.984208,34.510491,16.146169,13.640326,10.105768,4.829031,85.802286,83.151514,85.359360,57.996725,60.564785,38.214540,34.252917,23.624776,15.927343,4.812965,86.601115,85.509125,84.464025,62.527295,16.037962,74.864681,89.711912,85.935249,89.709826,82.297520,80.341582,86.047758,86.409549,64.805177,56.612329,51.046060,38.021580,17.515717,15.845051,89.470431,85.820460,81.298334,80.784945,85.810675,70.125835,57.368927,50.707183,61.017321,37.012559,10.682169,34.392832,16.088223,13.578222,10.051642,
3.000000,1.000000,47.814372,48.461131,41.224997,40.997084,37.340775,31.586052,24.957275,23.472165,23.419063,18.841545,17.953491,17.554921,14.798227,13.924605,14.122171,13.158690,13.043154,11.859847,8.231247,6.649375,4.666548,3.914561,3.933528,22.341148,18.338255,52.276947,56.012711,49.075362,36.810750,32.527922,23.344326,17.574065,14.183076,13.371377,13.033133,11.491997,7.737355,3.273452,4.456864,6.658363,6.659043,3.933528,3.567244,2.976400,1.827345,48.788752,37.223074,23.491236,14.170585,11.922972,8.091068,6.535138,4.850083,3.890820,1.806262,49.157633,40.343517,23.524028,15.015378,3.896660,20.971861,55.230061,49.015237,45.713319,37.764693,27.713922,25.563592,24.436489,15.685821,13.995972,13.091854,8.031776,4.092385,3.888948,55.699099,48.895587,36.682380,32.350690,23.223726,17.488422,14.109511,12.947721,11.434667,7.686307,3.471290,6.636782,3.919613,3.550764,2.960260,
3.000000,2.000000,47.709413,48.354333,41.183461,40.947078,37.304881,31.710560,25.582728,24.157964,24.110880,19.040729,18.102701,17.677532,14.799396,13.903036,14.100421,13.132436,13.019564,12.368588,9.993515,8.414397,5.975343,5.095256,5.122499,22.578219,18.513665,52.124035,55.855217,48.970005,36.774887,32.641054,24.039349,17.695189,14.161316,13.341428,13.010368,12.163348,9.686405,3.855517,5.422723,8.323212,8.426675,5.122499,4.666936,3.832409,2.261016,48.684108,37.257754,24.143854,14.151470,12.388385,9.892528,8.266517,6.195152,5.067752,2.237495,49.052869,40.311668,24.120034,15.017336,5.072918,21.255322,55.084683,48.909589,45.641925,37.725118,28.313482,26.327605,25.171638,15.715460,13.973249,13.065259,9.869374,5.308227,5.067305,55.542477,48.790603,36.646644,32.463452,23.914997,17.609003,14.087866,12.925238,12.102688,9.622438,4.126245,8.398447,5.104385,4.645383,3.811709,
