iHy, iMod,En01,En02,En03,En04,En05,En06,En07,En08,En09,En10,En11,En12,En13,En14,En15,En16,En17,En18,En19,En20,En21,En22,En23,En24,En25,En26,En27,En28,En29,En30,En31,En32,En33,En34,En35,En36,En37,En38,En39,En40,En41,En42,En43,En44,En45,En46,En47,En48,En49,En50,En51,En52,En53,En54,En55,En56,En57,En58,En59,En60,En61,En62,En63,En64,En65,En66,En67,En68,En69,En70,En71,En72,En73,En74,En75,En76,En77,En78,En79,En80,En81,En82,En83,En84
1.000000,1.000000,0.270083,0.246206,0.228584,0.214172,0.201759,0.191268,0.182692,0.175296,0.168746,0.163274,0.157937,0.152152,0.146907,0.142963,0.138456,0.133656,0.128212,0.122097,0.117598,0.113627,0.110256,0.107209,0.103964,0.101413,0.098958,0.096025,0.093423,0.090962,0.088333,0.085655,0.082943,0.081049,0.080006,0.078169,0.075900,0.074054,0.072963,0.072415,0.071803,0.070995,0.069318,0.069707,0.069310,0.068311,0.067743,0.067224,0.066581,0.065919,0.065177,0.058347,0.062265,0.061934,0.061368,0.059065,0.056680,0.056665,0.057292,0.056671,0.055838,0.042285,0.045038,0.053065,0.052154,0.050996,0.050155,0.049321,0.047174,0.044564,0.045045,0.045370,0.044952,0.044158,0.043427,0.042704,0.041891,0.041029,0.039705,0.036165,0.035790,0.035039,0.035510,0.026035,0.026709,0.026541,
1.000000,2.000000,0.265966,0.242396,0.225020,0.210847,0.198693,0.188458,0.180081,0.172811,0.166368,0.160988,0.155765,0.150130,0.145033,0.141220,0.136885,0.132299,0.127186,0.121516,0.117574,0.114287,0.111718,0.109482,0.107006,0.105028,0.102932,0.100241,0.097769,0.095348,0.092546,0.089531,0.086301,0.083715,0.082133,0.079760,0.077062,0.075042,0.073806,0.073088,0.072286,0.071322,0.069605,0.069979,0.069539,0.068479,0.067876,0.067332,0.066661,0.065985,0.065262,0.058491,0.062650,0.062747,0.063777,0.063972,0.064087,0.067321,0.071199,0.072679,0.072975,0.053946,0.058057,0.070517,0.069375,0.067786,0.066757,0.065700,0.062412,0.058348,0.059480,0.060456,0.060118,0.059133,0.058220,0.057294,0.056216,0.055071,0.053081,0.047227,0.046872,0.045830,0.046790,0.032050,0.033286,0.033123,
1.000000,3.000000,0.304190,0.278012,0.258755,0.243080,0.229593,0.218163,0.208858,0.200677,0.193379,0.187306,0.181281,0.174656,0.169135,0.165060,0.160324,0.155244,0.149566,0.142954,0.138483,0.134515,0.130889,0.127464,0.123839,0.121087,0.118423,0.115225,0.112506,0.109862,0.106918,0.103829,0.100521,0.098313,0.097509,0.094862,0.092116,0.090630,0.089422,0.088649,0.087784,0.086552,0.083997,0.084819,0.084423,0.082660,0.082136,0.081974,0.081423,0.080790,0.080000,0.070351,0.075682,0.075757,0.075974,0.072015,0.068102,0.068905,0.071890,0.072027,0.071324,0.051944,0.055870,0.068717,0.067852,0.066194,0.065412,0.064599,0.060732,0.056407,0.058453,0.060292,0.060787,0.060132,0.059583,0.058942,0.058158,0.057178,0.054863,0.047623,0.047435,0.046187,0.047958,0.029510,0.031208,0.031194,
1.000000,4.000000,0.301072,0.275106,0.256019,0.240510,0.227209,0.215964,0.206798,0.198703,0.191478,0.185466,0.179523,0.173014,0.167598,0.163618,0.159013,0.154104,0.148697,0.142461,0.138463,0.135088,0.132167,0.129466,0.126537,0.124323,0.122006,0.119058,0.116496,0.113927,0.110854,0.107473,0.103719,0.101104,0.100079,0.097167,0.094243,0.092727,0.091441,0.090546,0.089501,0.088101,0.085423,0.086212,0.085622,0.083541,0.082831,0.082439,0.081659,0.080986,0.080253,0.070746,0.076957,0.079253,0.083004,0.081157,0.079244,0.084150,0.092798,0.096308,0.097278,0.068643,0.074274,0.095615,0.094625,0.092023,0.091174,0.090253,0.083305,0.075996,0.080101,0.084287,0.085916,0.085273,0.084771,0.084033,0.083038,0.081689,0.077577,0.064264,0.064310,0.062364,0.065760,0.035367,0.038180,0.038314,
2.000000,1.000000,0.546680,0.506021,0.477033,0.453995,0.435546,0.421806,0.412061,0.402918,0.394448,0.388235,0.381535,0.372678,0.368380,0.368322,0.366559,0.364084,0.360721,0.355338,0.357831,0.359693,0.359741,0.358510,0.357455,0.361310,0.366326,0.368877,0.373626,0.378212,0.379054,0.374947,0.369109,0.372775,0.383256,0.372097,0.365555,0.372683,0.374583,0.375595,0.374676,0.371796,0.360387,0.381168,0.391489,0.381860,0.380525,0.375764,0.363717,0.356444,0.358317,0.301284,0.365283,0.391756,0.409508,0.355270,0.298931,0.296095,0.322164,0.326224,0.325483,0.209922,0.226298,0.323842,0.328491,0.323213,0.326466,0.325971,0.285205,0.239598,0.250325,0.262124,0.262590,0.252279,0.246330,0.239230,0.232614,0.225232,0.208023,0.161037,0.162887,0.157466,0.171042,0.071415,0.080544,0.082097,
2.000000,2.000000,0.541055,0.500446,0.471443,0.448372,0.429804,0.415823,0.405769,0.396325,0.387586,0.381103,0.374187,0.365216,0.360639,0.360167,0.358041,0.355280,0.351679,0.346105,0.348179,0.349762,0.349711,0.348480,0.347352,0.350757,0.355110,0.357092,0.361139,0.364969,0.365202,0.360858,0.354764,0.357581,0.367219,0.356730,0.350446,0.357062,0.358880,0.359900,0.359096,0.356378,0.345502,0.364939,0.374392,0.365177,0.364161,0.360238,0.349427,0.342899,0.344717,0.290046,0.351390,0.378108,0.398348,0.349591,0.298543,0.300283,0.331592,0.339417,0.340729,0.219962,0.237633,0.341249,0.345907,0.339878,0.343271,0.343083,0.300448,0.253591,0.267038,0.281898,0.284542,0.275156,0.269984,0.263462,0.257219,0.249998,0.231114,0.177582,0.179849,0.173807,0.189320,0.076803,0.087148,0.088941,
2.000000,3.000000,0.535512,0.494785,0.465737,0.442749,0.425466,0.414049,0.406808,0.400426,0.394529,0.390611,0.386282,0.379808,0.377386,0.379938,0.381357,0.381532,0.381243,0.380710,0.388077,0.394824,0.399993,0.403862,0.408874,0.421095,0.435804,0.446857,0.459704,0.473023,0.480524,0.479389,0.477551,0.487888,0.500381,0.487112,0.479023,0.483442,0.482656,0.482433,0.479345,0.475023,0.464241,0.492035,0.507558,0.499476,0.489330,0.467459,0.438410,0.421153,0.426007,0.377315,0.481670,0.530779,0.551455,0.480285,0.399097,0.375912,0.377857,0.370460,0.368441,0.240428,0.263239,0.370627,0.381885,0.386745,0.395003,0.395420,0.352860,0.290194,0.285336,0.281250,0.265686,0.244000,0.230865,0.217353,0.206105,0.194944,0.180030,0.147265,0.149318,0.146336,0.157679,0.077157,0.086138,0.087404,
2.000000,4.000000,0.513608,0.473789,0.445349,0.422843,0.405704,0.394015,0.386311,0.379508,0.373309,0.369115,0.364648,0.358304,0.355687,0.357657,0.358680,0.358630,0.358300,0.357757,0.364659,0.371357,0.376861,0.381243,0.386620,0.398402,0.412239,0.422667,0.434717,0.447195,0.454173,0.453184,0.451366,0.460850,0.472735,0.460955,0.453868,0.458501,0.458316,0.458707,0.456381,0.452768,0.443138,0.469758,0.484742,0.477500,0.468401,0.448272,0.421259,0.405301,0.410410,0.364452,0.465952,0.515721,0.539613,0.474247,0.398666,0.380273,0.386986,0.382704,0.382240,0.249565,0.273416,0.385323,0.396258,0.400387,0.408452,0.408805,0.364996,0.301337,0.297999,0.295512,0.280816,0.259362,0.246324,0.232826,0.221446,0.210079,0.194136,0.157841,0.159938,0.156492,0.168631,0.081340,0.090950,0.092249,
3.000000,1.000000,0.234529,0.212951,0.197047,0.184315,0.173706,0.165030,0.157844,0.151265,0.145326,0.140358,0.135722,0.130984,0.126878,0.124066,0.120950,0.118103,0.114935,0.111524,0.109567,0.107441,0.105175,0.102868,0.100463,0.098791,0.097322,0.095584,0.094247,0.092935,0.091410,0.089881,0.088400,0.087767,0.088309,0.087555,0.086279,0.085365,0.084887,0.084981,0.084992,0.084766,0.083275,0.084798,0.085122,0.084110,0.082917,0.080991,0.078993,0.078069,0.078422,0.069883,0.077920,0.077671,0.075371,0.069066,0.063023,0.061470,0.061560,0.060553,0.059605,0.043465,0.046567,0.056881,0.056354,0.055490,0.054940,0.054095,0.051058,0.046832,0.047000,0.047169,0.046335,0.045049,0.044049,0.043071,0.042050,0.041018,0.039426,0.035100,0.034872,0.034130,0.034919,0.023803,0.024775,0.024677,
3.000000,2.000000,0.233902,0.212411,0.196575,0.183893,0.173329,0.164693,0.157541,0.150991,0.145084,0.140139,0.135528,0.130813,0.126726,0.123931,0.120833,0.118008,0.114917,0.111642,0.109917,0.108145,0.106359,0.104562,0.102633,0.101309,0.100040,0.098417,0.097120,0.095792,0.094113,0.092317,0.090466,0.089473,0.089770,0.088789,0.087347,0.086351,0.085784,0.085764,0.085627,0.085270,0.083695,0.085152,0.085325,0.084123,0.082845,0.080892,0.078847,0.077891,0.078286,0.069988,0.078806,0.080026,0.079810,0.075249,0.070862,0.071638,0.074127,0.074602,0.074447,0.053630,0.057905,0.071987,0.071306,0.070108,0.069432,0.068438,0.064450,0.059016,0.059791,0.060567,0.059843,0.058418,0.057283,0.056149,0.054918,0.053657,0.051488,0.045119,0.044932,0.043949,0.045191,0.029338,0.030827,0.030753,
