iHy, iMod,HI01,HI02,HI03,HI04,HI05,HI06,HI07,HI08,HI09,HI10,HI11,HI12,HI13,HI14,HI15,HI16,HI17,HI18,HI19,HI20,HI21,HI22,HI23,HI24,HI25,HI26,HI27,HI28,HI29,HI30,HI31,HI32,HI33,HI34,HI35,HI36,HI37,HI38,HI39,HI40,HI41,HI42,HI43,HI44,HI45,HI46,HI47,HI48,HI49,HI50,HI51,HI52,HI53,HI54,HI55,HI56,HI57,HI58,HI59,HI60,HI61,HI62,HI63,HI64,HI65,HI66,HI67,HI68,HI69,HI70,HI71,HI72,HI73,HI74,HI75,HI76,HI77,HI78,HI79,HI80,HI81,HI82,HI83,HI84,HI85,HI86,HI87
1.000000,1.000000,73.372329,68.330993,67.656670,64.765748,57.906354,55.964651,60.164020,61.931995,61.986456,60.643728,58.432973,55.423256,53.940032,52.273991,47.484218,44.828533,43.015597,40.146027,38.057876,34.144685,31.958957,31.428430,30.408370,29.329668,28.095062,27.197007,25.883878,24.167725,22.952769,22.033607,21.312250,20.618046,19.498477,18.614705,17.946750,17.255422,16.576342,15.993759,15.633189,15.086409,14.788195,14.432651,13.924505,13.342221,12.713726,12.723714,12.387508,11.981733,11.596121,10.637944,10.213007,10.558123,10.322474,9.974000,9.401367,8.841559,8.571021,8.428235,8.262877,8.039131,7.863537,6.825272,6.365922,6.133704,6.292138,6.647030,6.413847,6.200526,6.018818,5.837124,5.668103,5.406758,5.177046,4.965813,4.871906,4.809341,4.688182,4.487405,4.342692,4.196866,4.130508,4.100265,3.976059,3.900592,3.781869,3.566943,3.409750,
1.000000,2.000000,72.359142,67.340782,66.641648,63.772948,57.007903,55.093668,59.240786,61.011340,61.094788,59.784128,57.610223,54.652334,53.212023,51.599995,46.905268,44.328426,42.608673,39.889735,37.992558,34.307268,32.381082,32.126758,31.349413,30.424277,29.275249,28.433150,27.116522,25.323925,24.000699,22.937175,22.033101,21.173828,19.905469,18.907929,18.186638,17.457456,16.734678,16.108123,15.712446,15.150049,14.847264,14.484361,13.964801,13.372132,12.737428,12.743275,12.402360,11.994023,11.610100,10.658340,10.253933,10.642647,10.484996,10.359015,10.090849,9.810729,9.881587,10.110256,10.260344,10.242537,10.172580,8.803281,8.215322,7.948530,8.244304,8.823312,8.527992,8.246713,8.006462,7.770060,7.534654,7.156843,6.827548,6.528931,6.439927,6.390356,6.254109,6.001814,5.814969,5.624169,5.539025,5.500778,5.335619,5.234667,5.069820,4.743923,4.508849,
1.000000,3.000000,82.072084,76.627414,76.078777,73.013839,65.444165,63.429246,68.382748,70.581857,70.823588,69.413319,66.974689,63.589537,61.915620,60.128911,54.816574,51.928568,50.032998,46.917059,44.727476,40.374053,37.928435,37.376633,36.244499,35.049096,33.664829,32.702238,31.231967,29.237102,27.808536,26.703492,25.858548,25.110585,23.687204,22.593849,21.934848,21.148314,20.296332,19.553740,19.069147,18.316707,17.970667,17.577872,16.902530,16.147511,15.443950,15.524357,15.149122,14.681237,14.228871,12.924685,12.296198,12.846726,12.656038,12.338729,11.531124,10.637631,10.351182,10.327282,10.363997,10.191958,10.017367,8.564633,7.943876,7.677225,7.987107,8.611869,8.328856,8.065338,7.832500,7.622889,7.375406,6.985216,6.648175,6.349557,6.332821,6.352630,6.276919,6.070551,5.913875,5.743633,5.679227,5.662174,5.512008,5.425476,5.253797,4.876352,4.610461,
1.000000,4.000000,81.318152,75.885794,75.313273,72.260090,64.757395,62.758429,67.666767,69.862911,70.121486,68.730904,66.316142,62.967885,61.325434,59.577935,54.337781,51.510960,49.690365,46.699766,44.672194,40.515304,38.297805,37.992524,37.081765,36.031783,34.733490,33.832665,32.370936,30.315260,28.792030,27.566025,26.604141,25.774764,24.267977,23.118292,22.440754,21.626633,20.733162,19.942157,19.416864,18.632162,18.269825,17.845702,17.113309,16.304519,15.563450,15.603164,15.194342,14.717491,14.270660,12.982324,12.411562,13.161329,13.323930,13.454087,12.919752,12.185150,12.270194,12.771216,13.367410,13.529648,13.517136,11.488608,10.629923,10.325815,10.892573,11.963699,11.597345,11.232545,10.906417,10.630681,10.239987,9.617122,9.080980,8.615852,8.701836,8.832219,8.810919,8.579771,8.386367,8.162186,8.085624,8.072839,7.867144,7.748398,7.481335,6.833041,6.383658,
2.000000,1.000000,100.156624,94.558745,94.975492,92.268783,83.743610,82.341141,90.165547,94.923326,97.443832,97.508937,95.876371,92.753454,91.919038,91.197991,85.476545,83.437381,82.866048,80.412035,79.831019,75.059766,72.902320,73.839485,73.889665,74.206782,74.131065,74.864582,74.355936,71.995450,70.022572,68.531445,68.421965,68.749416,65.186516,62.743897,62.889594,61.915120,60.095006,58.352416,57.240207,55.095198,55.654107,56.368885,54.806598,52.255653,49.996834,49.555778,47.362575,45.407808,44.391023,39.467000,38.169662,44.363803,46.217876,46.401919,41.061319,33.748385,31.642220,31.450209,32.537711,32.216657,31.865426,25.985286,23.407326,22.775263,24.752638,28.546565,28.140236,27.646188,27.098260,26.684897,25.409044,23.192084,21.034243,18.996380,19.057212,19.208037,18.949242,18.207887,17.465802,16.697664,16.309005,16.078431,15.474113,15.068125,14.339371,12.720731,11.641682,
2.000000,2.000000,99.307382,93.694034,94.040693,91.294724,82.800450,81.350590,89.008785,93.607918,95.973692,95.915076,94.193118,91.020082,90.109065,89.303802,83.590070,81.486707,80.838808,78.359094,77.704691,72.997820,70.871250,71.769854,71.781788,71.999132,71.812348,72.407948,71.791235,69.393290,67.403775,65.878166,65.650052,65.884260,62.486452,60.150289,60.258649,59.319426,57.583257,55.923554,54.865571,52.815790,53.309040,53.931133,52.409463,49.983808,47.869657,47.526813,45.503142,43.675956,42.708475,37.983772,36.741119,42.709436,44.653604,45.125259,40.285596,33.497711,31.774950,31.996632,33.479213,33.447385,33.251158,27.178581,24.538871,23.928432,26.043509,30.063687,29.622815,29.083952,28.498232,28.070844,26.743796,24.444365,22.230269,20.162068,20.344045,20.621704,20.455803,19.752790,19.035082,18.271101,17.908083,17.710444,17.096847,16.693732,15.913364,14.103121,12.893223,
2.000000,3.000000,98.898258,93.035082,93.168619,90.325637,81.842992,80.349934,88.016400,93.038107,96.128861,96.909835,95.993816,93.542170,93.414194,93.326718,88.154946,86.901506,87.082934,85.585934,86.254137,82.215424,81.059578,83.366436,84.966365,87.177603,89.005487,91.543017,92.506424,90.960491,89.438201,88.524358,89.355195,89.791523,85.275704,82.219526,81.667674,79.837086,77.222800,74.703311,73.166551,70.772796,71.787647,72.977153,71.416533,68.011476,63.668672,61.317573,57.061442,53.776384,52.640046,48.271291,49.421985,59.164181,62.546488,62.469196,55.328481,45.618064,41.464888,39.201246,38.232962,36.777611,36.181348,29.571136,26.838956,26.212251,28.570561,32.976002,32.942526,32.848324,32.627197,32.314549,31.029501,28.352253,25.511686,22.564046,21.634693,20.884397,19.770448,18.304549,16.995546,15.820583,15.108707,14.599383,13.782808,13.195657,12.450732,11.151099,10.329464,
2.000000,4.000000,95.278276,89.476828,89.452383,86.580162,78.331687,76.788357,83.986463,88.594815,91.317250,91.851460,90.812766,88.361750,88.149858,87.979153,82.995084,81.725320,81.852395,80.430477,81.054731,77.318208,76.372067,78.713956,80.354063,82.472992,84.190306,86.576516,87.463218,85.979669,84.543831,83.670539,84.414258,84.838708,80.682193,77.897787,77.448316,75.805692,73.415373,71.106294,69.723940,67.526210,68.535151,69.688810,68.235363,65.049778,60.975730,58.822181,54.830589,51.743969,50.702378,46.574297,47.783013,57.302564,60.831401,61.110293,54.508787,45.344631,41.607474,39.756753,39.143876,37.928900,37.448417,30.660849,27.862263,27.230868,29.683463,34.247907,34.168781,34.022070,33.757221,33.414357,32.085596,29.341489,26.453342,23.474885,22.603891,21.912674,20.832390,19.365185,18.049442,16.857916,16.144584,15.638965,14.799720,14.198732,13.414873,12.005333,11.106690,
3.000000,1.000000,60.457944,55.968556,55.100779,52.511537,46.776322,45.074209,48.427600,49.934857,50.066890,48.943156,47.042558,44.550512,43.390086,42.189286,38.527936,36.700659,35.704821,33.971517,32.931732,30.099994,28.496096,28.226606,27.536774,26.812679,25.990384,25.513823,24.623975,23.308752,22.462574,21.911680,21.552109,21.246283,20.411072,19.769900,19.323540,18.757422,18.170065,17.681854,17.422010,16.925715,16.752382,16.509077,16.020557,15.336429,14.488666,14.292967,13.748977,13.276897,12.990850,11.938564,11.629557,12.384961,12.078704,11.461860,10.412606,9.355405,8.829502,8.535318,8.307797,8.038554,7.854605,6.708527,6.204613,5.978873,6.208567,6.675984,6.485029,6.304774,6.144516,5.978307,5.790043,5.468518,5.167517,4.876586,4.758141,4.675577,4.534138,4.316286,4.149895,3.988593,3.909373,3.866441,3.736144,3.653640,3.529850,3.297958,3.133257,
3.000000,2.000000,60.280355,55.809266,54.949713,52.373951,46.660082,44.968550,48.319995,49.830767,49.969554,48.854950,46.964867,44.483180,43.331021,42.137621,38.485846,36.665802,35.683901,33.987008,33.014129,30.280907,28.816932,28.709491,28.160151,27.520443,26.738417,26.282969,25.378369,24.005155,23.080885,22.435323,21.980942,21.601725,20.703033,20.017325,19.547328,18.957171,18.340390,17.819128,17.531027,17.014966,16.827474,16.561832,16.040954,15.331326,14.474811,14.274003,13.723433,13.247156,12.966013,11.938273,11.695852,12.589952,12.491632,12.121928,11.271158,10.375474,10.065837,10.016037,9.997114,9.857029,9.738555,8.317976,7.707835,7.454222,7.793903,8.440296,8.201962,7.970216,7.765608,7.558208,7.319175,6.906676,6.528011,6.169103,6.057485,5.988125,5.836500,5.578054,5.378724,5.181748,5.088563,5.040627,4.877707,4.775412,4.614297,4.290758,4.062239,
