iHy, iMod,HI01,HI02,HI03,HI04,HI05,HI06,HI07,HI08,HI09,HI10,HI11,HI12,HI13,HI14,HI15,HI16,HI17,HI18,HI19,HI20,HI21,HI22,HI23,HI24,HI25,HI26,HI27,HI28,HI29,HI30,HI31,HI32,HI33,HI34,HI35,HI36,HI37,HI38,HI39,HI40,HI41,HI42,HI43,HI44,HI45,HI46,HI47,HI48,HI49,HI50,HI51,HI52,HI53,HI54,HI55,HI56,HI57,HI58,HI59,HI60,HI61,HI62,HI63,HI64,HI65,HI66,HI67,HI68,HI69,HI70,HI71,HI72,HI73,HI74,HI75,HI76,HI77,HI78,HI79,HI80,HI81,HI82,HI83,HI84,HI85,HI86,HI87
1.000000,1.000000,0.516312,0.496509,0.477913,0.459894,0.442932,0.425024,0.408247,0.391515,0.375887,0.361806,0.348708,0.336252,0.322755,0.309384,0.297771,0.284998,0.271394,0.255772,0.241721,0.230423,0.220190,0.210950,0.201949,0.194496,0.186834,0.179306,0.172378,0.165324,0.158134,0.151215,0.145668,0.141592,0.136849,0.131396,0.126948,0.123629,0.121317,0.119100,0.116605,0.113293,0.111724,0.110427,0.108314,0.106059,0.104302,0.102517,0.100697,0.098878,0.097045,0.089703,0.086244,0.090142,0.088906,0.087489,0.084435,0.080430,0.079054,0.078692,0.078768,0.077629,0.152549,0.132956,0.125505,0.122472,0.128466,0.138393,0.136228,0.133603,0.131032,0.128684,0.125561,0.121394,0.117623,0.114385,0.114216,0.114169,0.113505,0.112357,0.110637,0.108877,0.107199,0.105575,0.103894,0.102214,0.100223,0.096157,0.093031,
1.000000,2.000000,0.509183,0.489314,0.470743,0.452845,0.436060,0.418409,0.401983,0.385695,0.370480,0.356678,0.343798,0.331575,0.318399,0.305395,0.294140,0.281819,0.268827,0.254139,0.241306,0.231521,0.223099,0.215637,0.208198,0.201755,0.194682,0.187456,0.180587,0.173233,0.165354,0.157416,0.150595,0.145409,0.139705,0.133466,0.128645,0.125077,0.122476,0.119951,0.117196,0.113771,0.112170,0.110822,0.108627,0.106297,0.104497,0.102675,0.100818,0.098979,0.097162,0.089875,0.086590,0.090864,0.090306,0.090866,0.090628,0.089246,0.091142,0.094396,0.097809,0.098906,0.197344,0.171487,0.161967,0.158709,0.168323,0.183703,0.181132,0.177692,0.174304,0.171297,0.166909,0.160687,0.155122,0.150391,0.150976,0.151701,0.151418,0.150275,0.148145,0.145904,0.143754,0.141635,0.139420,0.137174,0.134355,0.127886,0.123018,
1.000000,3.000000,0.577546,0.556808,0.537419,0.518477,0.500603,0.481726,0.464028,0.446208,0.429486,0.414137,0.399692,0.385806,0.370487,0.355882,0.343760,0.330145,0.315676,0.298918,0.284090,0.272469,0.261325,0.250881,0.240714,0.232430,0.223879,0.215607,0.208000,0.200007,0.191593,0.183269,0.176746,0.172448,0.166251,0.159488,0.155162,0.151524,0.148546,0.145613,0.142237,0.137555,0.135771,0.134495,0.131482,0.128362,0.126704,0.125085,0.123149,0.121158,0.119080,0.108989,0.103839,0.109684,0.109008,0.108234,0.103566,0.096771,0.095476,0.096425,0.098800,0.098420,0.194338,0.166843,0.156619,0.153296,0.163076,0.179305,0.176907,0.173789,0.170521,0.168057,0.163385,0.156838,0.151051,0.146263,0.148469,0.150809,0.151974,0.152000,0.150669,0.149007,0.147396,0.145795,0.144033,0.142177,0.139235,0.131460,0.125794,
1.000000,4.000000,0.572241,0.551419,0.532011,0.513124,0.495349,0.476632,0.459169,0.441663,0.425229,0.410066,0.395762,0.382035,0.366956,0.352621,0.340758,0.327490,0.313515,0.297534,0.283739,0.273422,0.263870,0.255015,0.246275,0.238946,0.230986,0.223060,0.215585,0.207382,0.198369,0.189188,0.181843,0.177010,0.170327,0.163190,0.158741,0.154952,0.151743,0.148506,0.144831,0.139924,0.138031,0.136544,0.133122,0.129610,0.127684,0.125720,0.123517,0.121457,0.119430,0.109475,0.104813,0.112370,0.114761,0.118018,0.116038,0.110848,0.113176,0.119244,0.127431,0.130651,0.262233,0.223803,0.209577,0.206182,0.222398,0.249093,0.246330,0.242034,0.237444,0.234367,0.226844,0.215932,0.206326,0.198467,0.204010,0.209674,0.213326,0.214828,0.213661,0.211752,0.209851,0.207867,0.205574,0.203051,0.198268,0.184209,0.174175,
2.000000,1.000000,1.007003,0.981708,0.958563,0.936135,0.915237,0.893485,0.874174,0.857388,0.844278,0.831200,0.817497,0.804033,0.785848,0.771202,0.765862,0.757913,0.747003,0.731985,0.724458,0.723739,0.717659,0.708136,0.701137,0.703102,0.704364,0.705215,0.707520,0.703680,0.689286,0.672001,0.668193,0.674577,0.653685,0.632805,0.635610,0.633817,0.628408,0.620855,0.610018,0.591156,0.600759,0.616225,0.609127,0.593506,0.586049,0.570489,0.550097,0.535401,0.530792,0.475506,0.460539,0.541178,0.568762,0.581552,0.526911,0.438643,0.416995,0.419553,0.443175,0.444495,0.883248,0.723246,0.659362,0.649755,0.722073,0.849200,0.853978,0.851127,0.842907,0.840546,0.804222,0.743996,0.682821,0.625204,0.638350,0.651503,0.655502,0.651379,0.635771,0.618922,0.604761,0.591511,0.577719,0.564172,0.542955,0.489970,0.453827,
2.000000,2.000000,0.998464,0.972731,0.949128,0.926253,0.904929,0.882737,0.862959,0.845507,0.831541,0.817614,0.803144,0.789007,0.770374,0.755184,0.748959,0.740194,0.728728,0.713297,0.705161,0.703857,0.697665,0.688288,0.681135,0.682184,0.682333,0.682074,0.683116,0.678247,0.663507,0.645984,0.641123,0.646464,0.626609,0.606647,0.609020,0.607245,0.602143,0.595012,0.584711,0.566698,0.575445,0.589575,0.582485,0.567703,0.561115,0.547131,0.528500,0.514981,0.510674,0.457636,0.443302,0.520996,0.549512,0.565552,0.516956,0.435385,0.418744,0.426842,0.455999,0.461475,0.921658,0.756459,0.691237,0.682654,0.759729,0.894331,0.898970,0.895390,0.886454,0.884201,0.846468,0.784169,0.721647,0.663569,0.681454,0.699453,0.707618,0.706647,0.692894,0.677244,0.664057,0.651551,0.638303,0.625037,0.602554,0.543216,0.502616,
2.000000,3.000000,0.994278,0.965819,0.940258,0.916354,0.894400,0.871815,0.853275,0.840298,0.832824,0.826033,0.818438,0.810811,0.798572,0.789145,0.789802,0.789322,0.784958,0.779026,0.782689,0.792676,0.797901,0.799443,0.806184,0.825938,0.845633,0.862261,0.880163,0.888979,0.880345,0.867982,0.872558,0.880979,0.855074,0.829165,0.825335,0.817221,0.807452,0.794766,0.779690,0.759316,0.774856,0.797727,0.793674,0.772400,0.746252,0.705839,0.662697,0.634028,0.629381,0.581540,0.596260,0.721669,0.769647,0.782865,0.709939,0.592875,0.546403,0.522915,0.520709,0.507385,1.002804,0.822991,0.755973,0.747754,0.833386,0.980894,0.999640,1.011207,1.014814,1.017799,0.982043,0.909466,0.828109,0.742567,0.724633,0.708311,0.683860,0.654789,0.618607,0.586369,0.560211,0.537058,0.514537,0.494028,0.471408,0.429480,0.402644,
2.000000,4.000000,0.957884,0.928880,0.902753,0.878356,0.856027,0.833171,0.814207,0.800167,0.791138,0.782917,0.774265,0.765907,0.753569,0.743928,0.743574,0.742307,0.737811,0.732099,0.735508,0.745460,0.751760,0.754828,0.762421,0.781366,0.799885,0.815481,0.832179,0.840300,0.832169,0.820391,0.824309,0.832385,0.809014,0.785582,0.782694,0.775956,0.767641,0.756497,0.743004,0.724484,0.739749,0.761782,0.758320,0.738764,0.714688,0.677114,0.636788,0.610066,0.606214,0.561095,0.576487,0.698961,0.748542,0.765835,0.699421,0.589321,0.548282,0.530325,0.533115,0.523269,1.037922,0.853318,0.784796,0.776812,0.865849,1.018728,1.036851,1.047340,1.049961,1.052439,1.015467,0.941198,0.858675,0.772543,0.757096,0.743186,0.720592,0.692730,0.656967,0.624816,0.598620,0.575301,0.552500,0.531582,0.507912,0.462380,0.432940,
3.000000,1.000000,0.454951,0.434896,0.416224,0.398748,0.382621,0.366066,0.351407,0.337574,0.324670,0.312258,0.300210,0.289039,0.277641,0.267021,0.258368,0.249513,0.240898,0.231450,0.223674,0.217221,0.209953,0.202603,0.195565,0.190141,0.184829,0.179879,0.175365,0.170510,0.165494,0.160811,0.157527,0.156029,0.153192,0.149232,0.146170,0.143714,0.142207,0.140805,0.138963,0.135924,0.135344,0.135077,0.133264,0.130370,0.127110,0.123150,0.119518,0.117167,0.116259,0.107655,0.105020,0.113075,0.111250,0.107515,0.100005,0.091008,0.087088,0.085220,0.084691,0.083009,0.162947,0.139748,0.130812,0.127663,0.135554,0.148639,0.147296,0.145274,0.143049,0.140940,0.137161,0.131299,0.125552,0.120123,0.119288,0.118694,0.117392,0.115570,0.113060,0.110652,0.108499,0.106461,0.104399,0.102385,0.100035,0.095074,0.091418,
3.000000,2.000000,0.453615,0.433658,0.415083,0.397704,0.381670,0.365207,0.350626,0.336870,0.324039,0.311695,0.299714,0.288602,0.277263,0.266694,0.258086,0.249276,0.240756,0.231555,0.224234,0.218526,0.212317,0.206069,0.199993,0.195160,0.190149,0.185302,0.180737,0.175604,0.170049,0.164654,0.160662,0.158639,0.155383,0.151100,0.147863,0.145245,0.143540,0.141899,0.139833,0.136641,0.135951,0.135509,0.133434,0.130326,0.126988,0.122987,0.119296,0.116905,0.116037,0.107652,0.105618,0.114946,0.115053,0.113706,0.108251,0.100931,0.099283,0.100004,0.101912,0.101787,0.202031,0.173275,0.162504,0.159165,0.170167,0.187920,0.186293,0.183649,0.180790,0.178186,0.173384,0.165829,0.158607,0.151961,0.151863,0.152014,0.151111,0.149354,0.146538,0.143753,0.141225,0.138792,0.136297,0.133821,0.130767,0.123695,0.118522,
