iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1,1,0.000644521,0.000649034,0.000573102,0.000574367,0.000477779,0.000404554,0.000325679,0.000311897,0.000311519,0.00020868,0.000180504,0.000168698,0.000144638,0.000136585,0.000137629,0.000133019,0.000131957,0.000115197,9.05873e-05,8.1249e-05,5.77809e-05,4.98211e-05,4.99651e-05,0.000263975,0.000192029,2.88559e-05,3.45715e-05,3.49092e-05,3.11634e-05,2.73613e-05,2.1562e-05,1.8329e-05,1.63426e-05,1.94798e-05,1.77625e-05,1.43625e-05,1.47917e-05,2.05017e-05,1.92044e-05,2.17719e-05,9.59522e-06,7.60781e-06,1.21163e-05,1.27706e-05,1.11002e-05,8.98704e-05,0.00035779,0.000226785,0.000165536,0.000111185,0.000109244,9.56927e-05,9.86941e-05,9.44912e-05,2.5151e-05,0.000379968,0.000341575,0.00027015,0.000189542,8.43821e-05,0.000274707,6.25473e-05,6.04741e-05,0.000184272,4.81226e-05,3.8779e-05,0.000123451,3.09777e-05,0.000135727,1.19981e-05,9.2984e-06,1.54219e-05,5.12387e-05,9.79332e-06,3.05324e-05,3.05655e-05,2.63907e-05,2.42755e-05,1.82495e-05,1.59299e-05,1.52261e-05,1.65966e-05,1.31372e-05,1.35126e-05,1.77311e-05,9.04902e-06,7.97044e-06,1.26648e-05,1.32427e-05,
1,2,0.000639608,0.000644065,0.000569698,0.000570671,0.000475076,0.000404667,0.000331777,0.000319127,0.000318818,0.000209972,0.000181225,0.000169211,0.000144796,0.000136681,0.000137726,0.000133095,0.00013204,0.000116646,0.000101566,9.36912e-05,6.6668e-05,5.76891e-05,5.7864e-05,0.000265695,0.000192986,2.86618e-05,3.4317e-05,3.46446e-05,3.09862e-05,2.73643e-05,2.2071e-05,1.83828e-05,1.6354e-05,1.94897e-05,1.7774e-05,1.46447e-05,1.69358e-05,2.23259e-05,2.14179e-05,2.48349e-05,1.10644e-05,8.81051e-06,1.4037e-05,1.46123e-05,1.2345e-05,8.91918e-05,0.000356394,0.000231765,0.000165665,0.000112399,0.00012307,0.000110342,0.000113837,0.00010943,2.79918e-05,0.000377104,0.000339645,0.000275451,0.000189756,9.77138e-05,0.000277421,6.20989e-05,6.00152e-05,0.000182986,4.78367e-05,3.93444e-05,0.000126186,3.16927e-05,0.000135932,1.20062e-05,9.30367e-06,1.74524e-05,5.92877e-05,1.13426e-05,3.03076e-05,3.03339e-05,2.62406e-05,2.42783e-05,1.86802e-05,1.59767e-05,1.52367e-05,1.66073e-05,1.33957e-05,1.54713e-05,1.94339e-05,1.04345e-05,9.23046e-06,1.46724e-05,1.51526e-05,
1,3,0.000687259,0.00069205,0.000615398,0.000616231,0.000514092,0.000438919,0.000356953,0.000342983,0.000342638,0.000230522,0.000199624,0.00018641,0.000159655,0.000150896,0.000152079,0.000147305,0.000146183,0.000127782,0.000101707,9.25914e-05,6.66314e-05,5.84388e-05,5.86291e-05,0.000288606,0.000212492,3.04889e-05,3.66254e-05,3.72457e-05,3.35317e-05,2.96961e-05,2.37171e-05,2.02558e-05,1.80611e-05,2.15637e-05,1.9678e-05,1.59753e-05,1.67298e-05,2.15906e-05,2.07476e-05,2.45093e-05,1.09338e-05,8.927e-06,1.43068e-05,1.4687e-05,1.18899e-05,9.58809e-05,0.000385393,0.000249247,0.000182739,0.000123245,0.000122871,0.000109038,0.000113533,0.000110905,2.69728e-05,0.000405448,0.000367012,0.000296763,0.000209099,9.89801e-05,0.000301557,6.62928e-05,6.45166e-05,0.000197327,5.17348e-05,4.23296e-05,0.000135325,3.40187e-05,0.000149678,1.32622e-05,1.02957e-05,1.73866e-05,5.98462e-05,1.14995e-05,3.23464e-05,3.26113e-05,2.83962e-05,2.63466e-05,2.00737e-05,1.76045e-05,1.68274e-05,1.83865e-05,1.46132e-05,1.52826e-05,1.87745e-05,1.03111e-05,9.35251e-06,1.49544e-05,1.523e-05,
1,4,0.000683686,0.000688437,0.000612823,0.000613414,0.000512001,0.000439018,0.000362103,0.000349124,0.000348842,0.000233051,0.00020165,0.000188176,0.000160334,0.000151241,0.00015241,0.000147511,0.000146408,0.000132001,0.000116308,0.000109298,7.87954e-05,6.97253e-05,6.99727e-05,0.000290556,0.000214776,3.03529e-05,3.64453e-05,3.7053e-05,3.33944e-05,2.96986e-05,2.41499e-05,2.04465e-05,1.80978e-05,2.15901e-05,1.9709e-05,1.66912e-05,1.9571e-05,2.35519e-05,2.3268e-05,2.84343e-05,1.29062e-05,1.06542e-05,1.71009e-05,1.70945e-05,1.30724e-05,9.53864e-05,0.000384346,0.000253498,0.000183246,0.000126944,0.000141248,0.000128673,0.000134129,0.00013237,2.96901e-05,0.000403359,0.00036555,0.00030142,0.000210037,0.000118107,0.000304502,6.59761e-05,6.41823e-05,0.000196363,5.15144e-05,4.27909e-05,0.000137609,3.46215e-05,0.000150576,1.32875e-05,1.03099e-05,2.00892e-05,7.12627e-05,1.37278e-05,3.21873e-05,3.24425e-05,2.82799e-05,2.6349e-05,2.044e-05,1.77703e-05,1.68617e-05,1.84155e-05,1.52683e-05,1.78778e-05,2.06193e-05,1.2171e-05,1.1162e-05,1.78751e-05,1.77277e-05,
2,1,0.000790965,0.000795828,0.000761019,0.000760355,0.000650064,0.000589637,0.00053863,0.000537222,0.000537537,0.000391659,0.000344253,0.000322534,0.000284615,0.000268447,0.000270619,0.000259847,0.000258577,0.000245476,0.000180534,0.000169562,0.000116997,9.89713e-05,9.91912e-05,0.00044105,0.000364952,3.3551e-05,4.07583e-05,4.29911e-05,4.24063e-05,3.99615e-05,3.72513e-05,3.50501e-05,3.21335e-05,3.79118e-05,3.4831e-05,3.09756e-05,2.99197e-05,2.97954e-05,3.13994e-05,4.2315e-05,2.00143e-05,1.51031e-05,2.37381e-05,2.27041e-05,1.56909e-05,0.000110756,0.000490364,0.000389165,0.000325747,0.000236004,0.000218315,0.000200137,0.000201012,0.00018748,3.57334e-05,0.000468714,0.000456535,0.00046222,0.000374087,0.000167546,0.000478719,7.40976e-05,7.44316e-05,0.000237481,6.4936e-05,6.03007e-05,0.00020405,5.23961e-05,0.000265705,2.3557e-05,1.81461e-05,3.09861e-05,0.000102258,1.94169e-05,3.59964e-05,3.76417e-05,3.5911e-05,3.54533e-05,3.15278e-05,3.04625e-05,2.99395e-05,3.25476e-05,2.83379e-05,2.73314e-05,2.64319e-05,1.88737e-05,1.58227e-05,2.48133e-05,2.35469e-05,
2,2,0.000785775,0.000790643,0.000753063,0.000752353,0.000642498,0.000581685,0.000529548,0.000527453,0.000527735,0.00038342,0.000337,0.000315762,0.000278655,0.000262977,0.000265108,0.000254856,0.000253628,0.000241601,0.000183517,0.000174024,0.000121235,0.000103727,0.00010399,0.000433287,0.000357242,3.34149e-05,4.0567e-05,4.27029e-05,4.19117e-05,3.94188e-05,3.65701e-05,3.43143e-05,3.14802e-05,3.71816e-05,3.41638e-05,3.05507e-05,3.06304e-05,3.03626e-05,3.20903e-05,4.33805e-05,2.05411e-05,1.58337e-05,2.50136e-05,2.38489e-05,1.62953e-05,0.000110008,0.000484684,0.000382096,0.000319015,0.000232162,0.000222291,0.000205359,0.000207901,0.000196589,3.71257e-05,0.00046553,0.000451643,0.000453824,0.000366127,0.000175614,0.000469783,7.37321e-05,7.39343e-05,0.000235304,6.42005e-05,5.94352e-05,0.000200701,5.14857e-05,0.000260043,2.30812e-05,1.7798e-05,3.15984e-05,0.000106867,2.03672e-05,3.58275e-05,3.73892e-05,3.54922e-05,3.49719e-05,3.09513e-05,2.9823e-05,2.93307e-05,3.1924e-05,2.79491e-05,2.79806e-05,2.69535e-05,1.93704e-05,1.65882e-05,2.61466e-05,2.47346e-05,
2,3,0.000782217,0.000786688,0.000770718,0.000769518,0.000662833,0.000614101,0.00059506,0.000603467,0.000604085,0.000445435,0.000389823,0.000364801,0.000318904,0.00029737,0.00029955,0.000283037,0.000281781,0.000285101,0.000194434,0.000182285,0.000121637,9.52134e-05,9.51811e-05,0.000484461,0.000413858,3.33933e-05,4.04087e-05,4.25144e-05,4.32468e-05,4.16315e-05,4.18871e-05,3.96295e-05,3.55449e-05,4.12579e-05,3.79736e-05,3.5938e-05,3.18269e-05,3.26107e-05,3.42827e-05,4.55649e-05,2.15102e-05,1.44925e-05,2.20596e-05,2.16772e-05,1.62965e-05,0.000109601,0.000501877,0.00043684,0.000362854,0.000274022,0.000234055,0.000216129,0.000211398,0.000179688,3.71088e-05,0.000463805,0.000463326,0.000517703,0.000421168,0.000161038,0.00053252,7.35836e-05,7.36031e-05,0.000238194,6.60616e-05,6.45791e-05,0.00022529,5.84116e-05,0.000300312,2.60071e-05,1.97581e-05,3.30856e-05,0.000100348,1.8567e-05,3.56877e-05,3.72244e-05,3.66224e-05,3.69355e-05,3.54511e-05,3.44428e-05,3.31185e-05,3.54865e-05,3.28738e-05,2.90733e-05,2.89108e-05,2.0285e-05,1.51828e-05,2.30591e-05,2.24789e-05,
2,4,0.000763897,0.000768341,0.000748509,0.000747072,0.000642864,0.000595455,0.000578545,0.000586746,0.000587331,0.000434011,0.000380236,0.000356016,0.000312138,0.000291342,0.000293481,0.000277718,0.000276566,0.000281484,0.000197068,0.000185753,0.000124544,9.84242e-05,9.84261e-05,0.000471752,0.000403466,3.27927e-05,3.96178e-05,4.15076e-05,4.1942e-05,4.03595e-05,4.07237e-05,3.86757e-05,3.48261e-05,4.04701e-05,3.72715e-05,3.55489e-05,3.24289e-05,3.31386e-05,3.49079e-05,4.64399e-05,2.192e-05,1.49866e-05,2.29029e-05,2.24473e-05,1.67353e-05,0.000106994,0.000487095,0.000424736,0.00035538,0.000270419,0.000237541,0.000220154,0.000216166,0.000185841,3.81097e-05,0.000452739,0.000449876,0.000503381,0.000412101,0.000166493,0.000518695,7.21216e-05,7.18634e-05,0.00023158,6.40872e-05,6.27915e-05,0.000219096,5.67975e-05,0.000293645,2.54845e-05,1.9387e-05,3.36061e-05,0.000103482,1.92085e-05,3.49892e-05,3.63428e-05,3.55175e-05,3.5807e-05,3.44666e-05,3.36139e-05,3.24488e-05,3.48304e-05,3.25178e-05,2.96232e-05,2.93978e-05,2.06715e-05,1.57005e-05,2.39405e-05,2.32778e-05,
3,1,0.000578533,0.000582433,0.000517651,0.000516218,0.000432092,0.000377011,0.000315957,0.000306413,0.000306066,0.000217034,0.000189491,0.000177761,0.000153874,0.000144523,0.000145545,0.000140492,0.000139874,0.000124168,9.07262e-05,8.15437e-05,5.7154e-05,4.84638e-05,4.8581e-05,0.000258889,0.000200859,2.62288e-05,3.1259e-05,3.13303e-05,2.81721e-05,2.55398e-05,2.11854e-05,1.93144e-05,1.72722e-05,2.04936e-05,1.88365e-05,1.53897e-05,1.47772e-05,1.92453e-05,1.84954e-05,2.1528e-05,9.62878e-06,7.39707e-06,1.17124e-05,1.21822e-05,1.02947e-05,8.06805e-05,0.000325901,0.000222816,0.000175665,0.000119983,0.000109302,9.61625e-05,9.79439e-05,9.18524e-05,2.33464e-05,0.0003411,0.000309011,0.000265654,0.000201947,8.20669e-05,0.000274532,5.65885e-05,5.42735e-05,0.000165311,4.34131e-05,3.68791e-05,0.000119419,3.02042e-05,0.000144468,1.26713e-05,9.81817e-06,1.54457e-05,5.00196e-05,9.51617e-06,2.76069e-05,2.7432e-05,2.38578e-05,2.26592e-05,1.79306e-05,1.67863e-05,1.60922e-05,1.76003e-05,1.40769e-05,1.34995e-05,1.67583e-05,9.08065e-06,7.74962e-06,1.22426e-05,1.26325e-05,
3,2,0.000577898,0.000581791,0.00051739,0.000515903,0.000431885,0.000377753,0.000319892,0.000310857,0.000310554,0.000218178,0.000190277,0.00017838,0.00015388,0.000144411,0.000145433,0.000140352,0.000139747,0.000126804,9.99676e-05,9.173e-05,6.46741e-05,5.52915e-05,5.54392e-05,0.000260259,0.000201817,2.61904e-05,3.1215e-05,3.12967e-05,2.81584e-05,2.55841e-05,2.14984e-05,1.93809e-05,1.72589e-05,2.04706e-05,1.882e-05,1.58328e-05,1.65339e-05,2.08863e-05,2.04013e-05,2.40694e-05,1.08316e-05,8.4413e-06,1.33966e-05,1.38234e-05,1.14513e-05,8.05939e-05,0.000326052,0.00022589,0.000175547,0.000122302,0.000120859,0.000108153,0.000110695,0.000104828,2.59842e-05,0.000340737,0.000308889,0.000268998,0.00020196,9.36376e-05,0.000276381,5.6514e-05,5.4215e-05,0.000165182,4.33904e-05,3.72758e-05,0.000121191,3.06552e-05,0.000144605,1.2661e-05,9.80819e-06,1.71217e-05,5.69675e-05,1.08626e-05,2.75681e-05,2.74026e-05,2.38461e-05,2.26987e-05,1.81955e-05,1.68441e-05,1.60799e-05,1.7585e-05,1.44823e-05,1.51043e-05,1.8271e-05,1.0215e-05,8.84363e-06,1.4003e-05,1.43345e-05,
