iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1,1,0.000439973,0.000437847,0.000350902,0.000349861,0.00030027,0.000265725,0.000219015,0.000211505,0.000211735,0.000150373,0.000132749,0.000125652,0.000115564,0.000111753,0.000110959,0.000110307,0.000109928,9.97558e-05,8.63344e-05,8.50657e-05,6.95374e-05,6.42819e-05,6.40742e-05,0.000187448,0.000139653,2.42237e-05,2.47526e-05,2.28583e-05,1.98595e-05,1.7426e-05,1.47007e-05,1.36426e-05,1.31036e-05,1.59621e-05,1.48092e-05,1.25451e-05,1.43178e-05,1.98844e-05,1.88163e-05,2.14384e-05,1.00367e-05,9.7561e-06,1.60044e-05,1.75047e-05,1.65674e-05,5.92086e-05,0.000225248,0.000153537,0.000134707,9.6282e-05,0.000105009,0.000101189,0.000117086,0.000122153,3.78541e-05,0.000247366,0.000210254,0.000183075,0.000150937,0.000109395,0.000196625,4.46467e-05,3.97378e-05,0.0001104,3.04449e-05,2.5746e-05,8.16149e-05,2.07805e-05,0.000106122,9.70385e-06,7.73693e-06,1.48676e-05,6.50715e-05,1.2624e-05,2.19843e-05,2.00872e-05,1.68781e-05,1.55454e-05,1.25066e-05,1.19147e-05,1.2272e-05,1.39284e-05,1.15335e-05,1.31677e-05,1.75051e-05,9.49681e-06,1.0257e-05,1.68069e-05,1.82487e-05,
1,2,0.000436619,0.000434495,0.000348818,0.00034761,0.000298571,0.000265799,0.000223116,0.000216408,0.000216696,0.000151304,0.000133279,0.000126034,0.00011569,0.000111832,0.000111037,0.000110371,0.000109997,0.000101011,9.67975e-05,9.80923e-05,8.02327e-05,7.44336e-05,7.42036e-05,0.000188669,0.000140349,2.40608e-05,2.45704e-05,2.2685e-05,1.97465e-05,1.74279e-05,1.50477e-05,1.36827e-05,1.31127e-05,1.59702e-05,1.48187e-05,1.27915e-05,1.63932e-05,2.16538e-05,2.09851e-05,2.44544e-05,1.15735e-05,1.12984e-05,1.85414e-05,2.00293e-05,1.84254e-05,5.87615e-05,0.000224369,0.000156908,0.000134812,9.73334e-05,0.0001183,0.000116679,0.000135051,0.000141465,4.21297e-05,0.000245502,0.000209065,0.000186668,0.000151107,0.000126679,0.000198567,4.43266e-05,3.94362e-05,0.00010963,3.0264e-05,2.61213e-05,8.34233e-05,2.12602e-05,0.000106282,9.71037e-06,7.74132e-06,1.68252e-05,7.52935e-05,1.4621e-05,2.18225e-05,1.99349e-05,1.67821e-05,1.55471e-05,1.28017e-05,1.19498e-05,1.22805e-05,1.39374e-05,1.17605e-05,1.50763e-05,1.91862e-05,1.09509e-05,1.18785e-05,1.94711e-05,2.08806e-05,
1,3,0.000469159,0.000466878,0.000376809,0.000375371,0.0003231,0.000288304,0.000240052,0.000232592,0.000232892,0.000166116,0.000146814,0.000138848,0.000127566,0.000123466,0.000122612,0.000122158,0.000121782,0.000110657,9.69341e-05,9.69434e-05,8.01908e-05,7.54028e-05,7.51867e-05,0.000204944,0.000154539,2.55952e-05,2.62239e-05,2.43888e-05,2.13693e-05,1.89135e-05,1.61704e-05,1.50771e-05,1.44819e-05,1.76702e-05,1.64066e-05,1.3954e-05,1.61942e-05,2.09411e-05,2.03289e-05,2.41344e-05,1.14372e-05,1.14481e-05,1.88982e-05,2.01321e-05,1.77466e-05,6.317e-05,0.000242632,0.000168749,0.00014871,0.000106728,0.000118111,0.000115304,0.000134693,0.000143375,4.0597e-05,0.00026396,0.000225917,0.000201116,0.000166515,0.000128324,0.000215848,4.73215e-05,4.23952e-05,0.000118225,3.27309e-05,2.8104e-05,8.94674e-05,2.28211e-05,0.000117032,1.07265e-05,8.56699e-06,1.67622e-05,7.60048e-05,1.48236e-05,2.32911e-05,2.14322e-05,1.81611e-05,1.68721e-05,1.3757e-05,1.31676e-05,1.3563e-05,1.5431e-05,1.28297e-05,1.48929e-05,1.85357e-05,1.08217e-05,1.20358e-05,1.98459e-05,2.09878e-05,
1,4,0.00046672,0.000464441,0.000375232,0.000373655,0.000321785,0.00028837,0.000243516,0.000236756,0.000237109,0.000167939,0.000148304,0.000140163,0.000128108,0.000123748,0.000122879,0.000122328,0.000121969,0.00011431,0.00011085,0.000114436,9.48301e-05,8.99657e-05,8.97339e-05,0.000206328,0.0001562,2.54811e-05,2.60949e-05,2.42626e-05,2.12818e-05,1.89151e-05,1.64655e-05,1.5219e-05,1.45113e-05,1.76918e-05,1.64324e-05,1.45794e-05,1.89444e-05,2.28435e-05,2.27984e-05,2.79994e-05,1.35004e-05,1.36631e-05,2.25891e-05,2.34322e-05,1.95115e-05,6.28442e-05,0.000241972,0.000171626,0.000149123,0.000109932,0.000135777,0.000136067,0.000159128,0.000171124,4.46868e-05,0.0002626,0.000225017,0.000204272,0.000167262,0.000153121,0.000217957,4.70953e-05,4.21755e-05,0.000117647,3.25915e-05,2.84102e-05,9.09774e-05,2.32254e-05,0.000117735,1.0747e-05,8.57878e-06,1.93678e-05,9.05037e-05,1.76961e-05,2.31765e-05,2.13212e-05,1.80868e-05,1.68736e-05,1.40081e-05,1.32916e-05,1.35906e-05,1.54554e-05,1.34048e-05,1.74219e-05,2.0357e-05,1.27736e-05,1.43645e-05,2.37219e-05,2.44297e-05,
2,1,0.000771467,0.000767089,0.000665765,0.000661749,0.000583729,0.000553364,0.000517542,0.000520517,0.00052202,0.000403245,0.000361736,0.000343247,0.000324915,0.000313825,0.000311733,0.000307879,0.000307776,0.000303722,0.000245836,0.000253651,0.000201177,0.000182455,0.000181744,0.000447484,0.00037922,4.02423e-05,4.16956e-05,4.02211e-05,3.86122e-05,3.63642e-05,3.62878e-05,3.72751e-05,3.68127e-05,4.43867e-05,4.14919e-05,3.86574e-05,4.13796e-05,4.12901e-05,4.39568e-05,5.95333e-05,2.99122e-05,2.76728e-05,4.48007e-05,4.44652e-05,3.34613e-05,0.000104257,0.000441085,0.000376447,0.000378747,0.000292004,0.000299838,0.000302381,0.000340726,0.000346289,7.68426e-05,0.000435986,0.000401516,0.000447554,0.000425631,0.000310352,0.000489576,7.5571e-05,6.98815e-05,0.000203288,5.86977e-05,5.72013e-05,0.000192745,5.02201e-05,0.00029683,2.72222e-05,2.15732e-05,4.26818e-05,0.00018555,3.57615e-05,3.70325e-05,3.53449e-05,3.28149e-05,3.24384e-05,3.0871e-05,3.25542e-05,3.4478e-05,3.90278e-05,3.55467e-05,3.80542e-05,3.72844e-05,2.83011e-05,2.90929e-05,4.70485e-05,4.63618e-05,
2,2,0.000766405,0.000762091,0.000658804,0.000654785,0.000576935,0.000545901,0.000508815,0.000511051,0.000512501,0.000394762,0.000354116,0.00033604,0.000318111,0.00030743,0.000305385,0.000301965,0.000301885,0.000298927,0.000249899,0.000260325,0.000208465,0.000191222,0.000190537,0.000439607,0.000371208,4.0079e-05,4.14999e-05,3.99514e-05,3.81618e-05,3.58703e-05,3.56242e-05,3.64926e-05,3.60643e-05,4.35317e-05,4.06971e-05,3.81271e-05,4.23625e-05,4.2076e-05,4.4924e-05,6.10323e-05,3.06995e-05,2.90116e-05,4.72081e-05,4.67072e-05,3.47502e-05,0.000103553,0.000435975,0.000369609,0.000370921,0.000287251,0.000305298,0.000310271,0.000352404,0.000363114,7.98367e-05,0.000433024,0.000397213,0.000439424,0.000416574,0.000325295,0.000480437,7.51983e-05,6.94146e-05,0.000201424,5.80328e-05,5.63803e-05,0.000189582,4.93475e-05,0.000290504,2.66723e-05,2.11594e-05,4.35252e-05,0.000193913,3.75118e-05,3.68587e-05,3.51078e-05,3.24321e-05,3.1998e-05,3.03065e-05,3.18708e-05,3.37769e-05,3.82801e-05,3.5059e-05,3.8958e-05,3.80202e-05,2.9046e-05,3.05004e-05,4.95766e-05,4.87002e-05,
2,3,0.000762879,0.000758223,0.0006742,0.000669675,0.000595152,0.000576282,0.000571721,0.000584659,0.000586605,0.000458578,0.000409591,0.0003882,0.000364032,0.000347612,0.000345034,0.000335332,0.00033537,0.000352723,0.000264745,0.000272663,0.000209142,0.000175514,0.000174384,0.000491491,0.000430006,4.00502e-05,4.1335e-05,3.97722e-05,3.93746e-05,3.7881e-05,4.08007e-05,4.21421e-05,4.07179e-05,4.83006e-05,4.52322e-05,4.48471e-05,4.40141e-05,4.51881e-05,4.79898e-05,6.41009e-05,3.21454e-05,2.65521e-05,4.16299e-05,4.2451e-05,3.47502e-05,0.000103162,0.000451408,0.000422533,0.000421861,0.000339018,0.000321432,0.000326519,0.000358305,0.000331872,7.97946e-05,0.000431387,0.000407458,0.00050124,0.000479164,0.000298274,0.000544557,7.50413e-05,6.90986e-05,0.000203883,5.97109e-05,6.12553e-05,0.000212793,5.59817e-05,0.000335466,3.00513e-05,2.3488e-05,4.55704e-05,0.000182071,3.41937e-05,3.67122e-05,3.49505e-05,3.34624e-05,3.37921e-05,3.47101e-05,3.68052e-05,3.81361e-05,4.25488e-05,4.12334e-05,4.04764e-05,4.07782e-05,3.04152e-05,2.79144e-05,4.37191e-05,4.42558e-05,
2,4,0.000745011,0.00074054,0.000654772,0.000650141,0.000577222,0.000558784,0.000555854,0.000568459,0.000570336,0.000446817,0.000399518,0.000378852,0.000356308,0.000340565,0.000338044,0.000329029,0.000329164,0.000348248,0.000268332,0.00027785,0.00021414,0.000181433,0.000180329,0.000478598,0.000419208,3.93299e-05,4.05259e-05,3.88302e-05,3.81866e-05,3.67236e-05,3.96675e-05,4.11278e-05,3.98945e-05,4.73784e-05,4.43958e-05,4.43615e-05,4.48466e-05,4.59196e-05,4.88648e-05,6.53318e-05,3.27579e-05,2.74574e-05,4.32213e-05,4.39591e-05,3.56859e-05,0.000100708,0.000438112,0.000410825,0.000413172,0.000334561,0.000326219,0.000332599,0.000366386,0.000343236,8.19467e-05,0.000421095,0.00039563,0.000487373,0.000468848,0.000308378,0.00053042,7.35504e-05,6.74654e-05,0.000198222,5.79262e-05,5.95597e-05,0.000206942,5.44347e-05,0.000328019,2.94473e-05,2.30468e-05,4.62873e-05,0.000187758,3.53751e-05,3.59936e-05,3.41228e-05,3.24529e-05,3.27597e-05,3.37462e-05,3.59194e-05,3.73649e-05,4.17621e-05,4.0787e-05,4.12421e-05,4.14651e-05,3.09947e-05,2.88661e-05,4.53903e-05,4.58286e-05,
3,1,0.000422327,0.000420177,0.00033894,0.000336256,0.000290397,0.000264814,0.000227219,0.000222202,0.000222461,0.000167243,0.000149027,0.000141588,0.000131473,0.000126452,0.000125482,0.000124587,0.000124607,0.000114984,9.24656e-05,9.12973e-05,7.3555e-05,6.68688e-05,6.66215e-05,0.00019659,0.000156209,2.35459e-05,2.39336e-05,2.19381e-05,1.91988e-05,1.73944e-05,1.5446e-05,1.53735e-05,1.48097e-05,1.79579e-05,1.67942e-05,1.43748e-05,1.52961e-05,1.99609e-05,1.93789e-05,2.26689e-05,1.07706e-05,1.0144e-05,1.65441e-05,1.78567e-05,1.64312e-05,5.68418e-05,0.000219406,0.000161316,0.000152867,0.000111109,0.000112354,0.000108741,0.000124257,0.00012698,3.75757e-05,0.000237469,0.000203405,0.000192519,0.000171972,0.000113775,0.000210132,4.31956e-05,3.81376e-05,0.000105912,2.93709e-05,2.61832e-05,8.44272e-05,2.16674e-05,0.000120793,1.09593e-05,8.7362e-06,1.59237e-05,6.79305e-05,1.31177e-05,2.1257e-05,1.92786e-05,1.63167e-05,1.5517e-05,1.31405e-05,1.34263e-05,1.38699e-05,1.57956e-05,1.3216e-05,1.40675e-05,1.76926e-05,1.01912e-05,1.06647e-05,1.73738e-05,1.86155e-05,
3,2,0.000421863,0.000419714,0.000338769,0.000336051,0.000290258,0.000265335,0.000230048,0.000225425,0.000225723,0.000168125,0.000149645,0.000142082,0.000131478,0.000126354,0.000125385,0.000124463,0.000124494,0.000117425,0.000101884,0.000102702,8.3233e-05,7.62896e-05,7.60264e-05,0.000197631,0.000156954,2.35114e-05,2.39e-05,2.19146e-05,1.91894e-05,1.74246e-05,1.56742e-05,1.54263e-05,1.47983e-05,1.79378e-05,1.67795e-05,1.47887e-05,1.71145e-05,2.1663e-05,2.13758e-05,2.5345e-05,1.2116e-05,1.1576e-05,1.89232e-05,2.02624e-05,1.82772e-05,5.67808e-05,0.000219508,0.000163541,0.000152764,0.000113257,0.000124234,0.0001223,0.000140434,0.000144918,4.18214e-05,0.000237215,0.000203325,0.000194943,0.000171983,0.000129817,0.000211547,4.31387e-05,3.80964e-05,0.000105829,2.93555e-05,2.6465e-05,8.56795e-05,2.19909e-05,0.000120907,1.09504e-05,8.72732e-06,1.76516e-05,7.73662e-05,1.49738e-05,2.12271e-05,1.92579e-05,1.63088e-05,1.5544e-05,1.33346e-05,1.34726e-05,1.38593e-05,1.57819e-05,1.35965e-05,1.57398e-05,1.92896e-05,1.14642e-05,1.21702e-05,1.98721e-05,2.11237e-05,
