iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1.000000,1.000000,5.815497,5.867452,6.932891,7.548576,8.169892,5.675113,4.123391,3.773333,3.774302,1.617585,1.392256,1.437107,1.183619,1.096805,1.097356,1.048604,1.037402,0.747025,0.276540,0.261320,0.228939,0.159617,0.158033,4.193843,1.378784,70.190997,83.016413,112.595683,124.345242,83.644658,54.418039,13.255486,9.235646,7.358201,7.688313,5.315866,1.513901,0.337874,0.565424,0.877224,2.210979,1.037900,0.529046,0.408907,0.294310,43.249052,9.576680,5.158794,0.941369,0.795970,0.220917,0.223627,0.146188,0.082322,0.129515,10.368756,11.319259,4.214365,0.920364,0.093290,2.929235,45.563812,64.746660,24.263245,83.206650,43.292793,11.355114,41.228415,1.414481,12.429774,14.928895,1.686168,0.175142,0.786976,93.465493,128.119697,146.292887,93.779735,63.966742,15.177459,9.863793,8.173918,5.783488,1.646038,0.428178,2.336657,0.987116,0.503836,0.392168,
1.000000,2.000000,5.846283,5.898614,6.964572,7.586628,8.206917,5.673280,4.056975,3.697648,3.697777,1.609542,1.388048,1.433995,1.182767,1.096273,1.096828,1.048181,1.036941,0.739392,0.248558,0.228509,0.199884,0.138774,0.137375,4.168871,1.373400,70.449676,83.382797,113.193627,124.912470,83.634882,53.306335,13.228030,9.231231,7.355596,7.684824,5.228648,1.333613,0.312417,0.510785,0.775326,1.933415,0.902228,0.459562,0.359428,0.265832,43.477813,9.604229,5.060914,0.940870,0.788998,0.197661,0.195544,0.127686,0.071560,0.116897,10.423647,11.368455,4.143288,0.919679,0.081103,2.904898,45.760297,65.090501,24.391505,83.600436,42.758353,11.139717,40.409310,1.413086,12.424043,14.922959,1.500862,0.152402,0.684020,93.877971,128.800072,146.960212,93.768382,62.660274,15.145973,9.859078,8.170200,5.688426,1.450024,0.393429,2.043324,0.858082,0.437663,0.344713,
1.000000,3.000000,5.292846,5.341371,5.908492,6.403089,6.836278,4.599482,3.196394,2.886627,2.888186,1.197751,1.031605,1.062504,0.865963,0.802212,0.803380,0.765241,0.756492,0.531952,0.195723,0.185176,0.156296,0.110752,0.109751,3.330322,1.023369,70.214063,80.588215,101.965720,103.987548,67.711687,41.644372,9.801357,6.763929,5.374047,5.606090,3.802367,1.079437,0.193850,0.347579,0.602599,1.566870,0.720804,0.365203,0.255747,0.140896,39.180961,8.037951,3.946084,0.687504,0.566270,0.156860,0.157850,0.099862,0.057154,0.062378,9.380896,9.614233,3.231447,0.673395,0.064755,2.268424,43.996905,58.673210,21.054433,69.902999,34.164420,8.793399,31.738575,1.036438,9.099726,10.892866,1.203668,0.121079,0.546445,90.731577,116.024399,122.349602,75.916375,48.949382,11.222345,7.223722,5.960010,4.137857,1.173736,0.248809,1.655842,0.685524,0.347807,0.245297,
1.000000,4.000000,5.309586,5.358312,5.925868,6.424257,6.857021,4.598262,3.158030,2.843321,2.844348,1.186218,1.022294,1.053518,0.862661,0.800587,0.801838,0.764328,0.755496,0.516348,0.172842,0.158648,0.133554,0.093773,0.092899,3.309654,1.013626,70.346950,80.781984,102.291120,104.305576,67.705437,41.007209,9.718944,6.751896,5.368442,5.598543,3.652226,0.933137,0.179310,0.312897,0.524994,1.342457,0.610125,0.308572,0.221655,0.128994,39.305481,8.052275,3.889766,0.685798,0.551143,0.137845,0.135269,0.085419,0.048375,0.057043,9.410785,9.641121,3.189132,0.670674,0.054823,2.249749,44.099556,58.860297,21.125355,70.123394,33.862316,8.670753,31.270437,1.030845,9.084569,10.880051,1.051572,0.102726,0.462415,90.949727,116.394657,122.723746,75.909097,48.200620,11.127966,7.210846,5.951963,3.974402,1.014666,0.228614,1.418703,0.580263,0.293872,0.212587,
2.000000,1.000000,1.314870,1.308429,2.999806,2.970909,3.904452,5.357576,9.813515,11.103948,11.149788,17.404791,19.995260,21.182266,23.785524,23.944641,24.122318,23.025055,23.242372,33.577524,28.627301,31.379126,31.159214,27.751381,27.693392,12.597993,18.925129,12.361132,14.827023,25.975685,59.173382,81.613704,161.251063,195.126568,204.063195,157.777445,172.924979,272.940424,173.741097,31.867433,56.396082,100.885707,265.570260,181.879361,98.463455,68.674019,36.127161,10.142484,5.383800,15.172139,20.131025,34.502318,23.484809,26.621658,19.295677,14.456781,16.113689,2.442552,5.165308,12.693613,18.538758,16.275185,12.524592,9.434396,14.876205,7.956342,37.314428,67.752511,25.884450,108.328726,26.190543,273.428662,326.999437,166.546491,28.981542,138.924896,16.694245,29.559000,69.617767,91.485329,189.524227,223.425466,217.914910,183.918033,296.948987,188.910962,40.365807,280.632894,172.982309,93.772013,65.872881,
2.000000,2.000000,1.312495,1.306067,3.000988,2.972584,3.909661,5.372279,9.862641,11.169405,11.215708,17.564011,20.189231,21.392562,24.056303,24.222038,24.402089,23.291076,23.511983,33.886790,28.315186,30.817575,30.327442,26.739901,26.676961,12.681719,19.104217,12.315676,14.780108,25.932130,59.253018,81.840277,162.206427,197.064985,206.431314,159.591257,174.932374,275.125204,170.981213,31.488994,55.575167,99.165351,260.815924,175.203843,94.386340,65.984104,35.045035,10.125226,5.390437,15.261198,20.363891,34.830118,23.201927,26.148879,18.812884,13.923464,15.624699,2.438489,5.168268,12.768209,18.750561,15.680855,12.618042,9.401967,14.850978,7.953359,37.355908,68.013049,26.012351,108.915893,26.480877,276.596860,330.773419,164.349991,27.998445,133.757490,16.641420,29.509427,69.711402,91.739256,190.647039,225.644978,220.443826,186.053138,299.326023,185.910555,39.858996,275.609289,166.632974,89.889289,63.291877,
2.000000,3.000000,11.619048,11.577294,25.137847,25.074090,32.277721,42.305272,67.488595,73.842783,74.059551,102.620389,115.067514,120.805691,126.640301,126.454831,127.337927,120.498261,120.687993,155.983605,133.071601,131.486677,125.662823,110.360564,110.121422,78.620971,109.945083,106.728308,129.817031,229.725679,489.335828,644.386881,1069.994177,1112.907275,1077.270714,833.046417,897.003451,1249.077084,780.746550,168.662364,284.246920,454.783734,1113.767662,723.234415,390.612974,288.482827,175.531982,89.555021,43.996194,100.925037,106.437623,161.021187,108.539531,110.791482,77.762418,57.484851,77.334947,21.570629,43.067417,84.107133,98.718854,64.738157,76.799563,81.593657,131.569830,68.498911,310.361536,504.130726,181.001370,736.800897,141.679507,1443.974354,1712.359197,763.243301,115.450833,552.315966,146.164613,261.412244,575.688001,722.337210,1257.704825,1274.319617,1150.400788,953.966391,1358.810436,848.897987,213.074983,1177.001192,687.862400,371.991984,276.690825,
2.000000,4.000000,11.708235,11.665610,25.469172,25.411857,32.747829,42.958698,68.428651,74.855690,75.074104,104.060369,116.664137,122.474374,128.311720,128.115470,129.012083,122.040791,122.215169,157.216200,131.767502,129.651193,123.287650,107.282172,107.012949,79.772547,111.477492,106.790665,130.176662,231.570290,496.473123,654.400568,1084.642081,1128.283163,1091.436842,843.842864,908.338998,1257.469043,769.954196,166.641381,280.339341,448.306074,1098.190781,702.819178,378.028390,279.744540,171.435814,90.275071,44.620243,102.315531,107.836370,162.342620,107.367055,109.279047,76.390436,55.853863,75.526739,21.746167,43.646417,85.274329,100.026038,62.923647,77.902527,81.867456,132.619102,69.305621,314.791070,511.292748,183.490749,746.900401,143.575240,1462.936246,1734.283535,754.425887,112.497613,536.485293,146.569497,263.511200,584.084293,733.561161,1274.920974,1291.924838,1165.526391,966.019277,1367.939186,837.162711,210.393669,1160.540784,668.444364,360.008144,268.306703,
3.000000,1.000000,0.186538,0.185558,0.588035,0.564741,0.813092,1.337649,3.626525,4.355315,4.351150,10.264726,12.418493,13.656898,15.906014,15.467472,15.470592,15.471831,16.057839,19.137485,8.919523,8.749019,7.866555,5.602600,5.549231,6.291008,11.343827,1.323295,1.682236,3.748284,12.295447,20.315791,62.657618,125.922068,130.176958,102.848294,119.648283,143.369520,49.976281,11.717365,19.247690,29.384142,74.018578,36.445178,18.682705,14.439797,10.310407,1.459618,1.177002,6.058546,13.238406,20.081326,7.157738,7.489511,5.005335,2.891330,4.536550,0.353082,1.036265,5.238023,12.352370,3.274726,6.502300,1.246151,2.141668,1.325165,7.561535,20.173509,8.833166,39.622024,17.550673,174.632486,219.995216,50.764520,6.129136,27.652512,1.894104,4.265223,14.465252,22.775709,73.655356,144.181732,139.033150,127.239628,155.960517,54.337052,14.775073,78.225133,34.661992,17.792411,13.848788,
3.000000,2.000000,0.186682,0.185700,0.588289,0.565012,0.813406,1.335514,3.587975,4.301058,4.296387,10.216516,12.372405,13.614187,15.905554,15.478509,15.481562,15.486118,16.071289,18.767400,8.140785,7.825024,6.989343,4.934971,4.886690,6.261259,11.295535,1.324347,1.683653,3.751117,12.300254,20.286787,61.863265,125.533555,130.268870,102.954766,119.745074,139.632751,44.947760,10.851256,17.544929,26.438681,66.201477,32.093866,16.410142,12.778777,9.299109,1.460726,1.176708,5.986483,13.246637,19.727103,6.510997,6.699515,4.452890,2.545882,4.089211,0.353349,1.036635,5.180754,12.351706,2.884215,6.462608,1.247598,2.143293,1.325955,7.564704,19.991743,8.721901,39.116725,17.535653,174.763061,220.202090,46.057708,5.408687,24.343566,1.895700,4.268448,14.470909,22.743128,72.721774,143.736702,139.131306,127.341960,151.895316,48.869925,13.621805,69.964005,30.523560,15.628131,12.255626,
