iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1.000000,1.000000,92.074469,92.719114,88.169525,88.364213,95.555806,89.900883,81.419765,77.974140,77.879809,83.471968,90.251899,93.721250,90.398512,91.056383,91.752586,88.679177,87.971335,88.613281,90.587326,81.249025,82.544153,83.035192,83.275158,87.991542,87.286062,2192.746347,1981.781599,1745.310496,1445.375095,1364.457809,1121.496500,863.468260,776.961599,620.186934,652.458972,696.894464,524.116768,181.195543,250.208219,312.792205,689.166962,546.918659,315.074759,256.124269,191.391701,673.595149,125.392237,107.306914,76.016635,92.085901,73.985734,67.627281,49.898258,43.576404,83.348454,160.536682,144.315476,90.049866,69.785954,48.821093,76.440291,1078.767598,1006.295249,308.245742,964.257613,790.197301,221.291716,829.760004,102.007147,1045.857698,1262.839151,519.196438,83.809471,420.569308,2231.376998,1986.029118,1700.781856,1529.547567,1318.242178,988.674547,829.595759,693.698076,758.075182,569.933769,219.161459,728.324202,520.193060,300.036203,245.657057,
1.000000,2.000000,91.372504,92.009254,87.645777,87.795539,95.015225,89.926054,82.944151,79.781626,79.704534,83.988876,90.612740,94.006132,90.497579,91.120850,91.817054,88.730175,88.026795,89.727952,101.565827,93.691165,95.239970,96.148480,96.439994,88.564872,87.721078,2177.999621,1967.191037,1732.084024,1437.153560,1364.605012,1147.971863,866.004675,777.502605,620.502170,652.879364,710.585690,600.090780,197.318636,279.047578,356.797215,794.689632,633.380145,365.019864,293.062492,212.856024,668.509390,124.902994,109.663086,76.076172,93.091503,83.349433,77.979831,57.554437,50.465790,92.762686,159.326576,143.499880,91.817065,69.864629,56.534410,77.195351,1071.032829,998.658593,306.093980,958.528540,801.717670,226.194874,848.912529,102.161029,1046.559430,1263.555432,587.556153,96.974925,487.101210,2214.949484,1970.978363,1691.107464,1529.719204,1349.354802,991.582129,830.173439,694.146119,772.990593,652.545210,240.208797,839.838752,602.429159,347.597621,281.086800,
1.000000,3.000000,98.179830,98.864230,94.676616,94.804785,102.818421,97.537556,89.238201,85.745862,85.659388,92.208608,99.811943,103.561146,99.784572,100.597235,101.385881,98.203389,97.455631,98.294091,101.706569,92.591414,95.187773,97.397943,97.715118,96.202115,96.587287,2316.840659,2099.519839,1862.128429,1555.216380,1480.888354,1233.589749,954.237452,858.660881,686.534549,722.819433,775.145581,592.790034,190.819719,270.315077,352.119117,785.312064,641.754665,372.035684,294.559089,205.009425,718.645081,135.066058,117.935325,83.916678,102.074240,83.214404,77.058803,57.400333,51.145698,89.385569,171.301577,155.062718,98.921076,76.986510,57.267054,83.911460,1143.367098,1073.562186,330.083949,1036.636299,862.546400,242.576734,911.215330,112.491822,1156.044472,1398.287301,585.340595,97.888587,493.838645,2363.945410,2118.957556,1830.027337,1660.042092,1450.009483,1092.606807,916.846282,768.514189,843.245510,644.589173,232.058819,829.907045,610.394703,354.280051,282.523637,
1.000000,4.000000,97.669420,98.348180,94.280448,94.371308,102.400138,97.559642,90.525701,87.280930,87.210540,93.220530,100.824937,104.542027,100.208801,100.827166,101.606597,98.340425,97.605500,101.538892,116.307790,109.298352,112.564834,116.208906,116.621178,96.851887,97.625501,2306.506651,2089.195493,1852.490134,1548.849511,1481.013576,1256.104044,963.220933,860.406793,687.374966,723.956054,809.882749,693.462118,208.153879,303.152025,408.509300,926.975503,765.922266,444.694520,342.844761,225.397879,714.938458,134.699081,119.946375,84.149603,105.138016,95.660842,90.934557,67.813436,61.044733,98.390584,170.419070,154.445084,100.473322,77.331945,68.333163,84.731061,1137.903257,1067.998880,328.470842,1032.219639,871.946065,246.670942,927.360590,113.167205,1158.252809,1400.212179,676.329418,116.562070,589.532583,2352.321069,2107.989906,1822.535782,1660.188662,1476.467833,1102.894899,918.713777,769.726193,881.047560,754.049037,254.860897,979.602562,728.493552,423.472473,328.855340,
2.000000,1.000000,112.994971,113.689780,117.079892,116.977648,130.012784,131.030344,134.657396,134.305471,134.384237,156.663705,172.126469,179.185411,177.884671,178.964632,180.412447,173.231583,172.384832,188.827921,180.533850,169.562436,167.138335,164.952109,165.318714,147.016796,165.887346,2549.528838,2336.432952,2149.374356,1966.826758,1992.805224,1937.540742,1651.191879,1527.691275,1207.018707,1279.423002,1502.987305,1060.150180,263.334949,409.093105,607.929841,1437.506389,1085.748634,617.288784,455.349584,270.546115,830.134948,171.854463,184.139377,149.588140,195.463740,147.854542,141.439643,101.628524,86.460087,118.417584,198.031847,192.886155,154.073439,137.731970,96.937595,133.208889,1277.977128,1238.548681,397.252743,1301.155941,1228.741946,365.769496,1403.466711,199.693302,2053.429554,2464.464161,1043.186216,167.260029,833.849006,2630.700313,2445.809174,2314.330880,2233.831464,2277.388532,1890.624042,1631.259108,1360.413714,1635.222812,1152.781415,326.705612,1519.077161,1032.671991,587.843193,436.804538,
2.000000,2.000000,112.253598,112.949063,115.855846,115.746691,128.499542,129.263227,132.386875,131.863245,131.933645,153.368099,168.500241,175.423121,174.159669,175.318045,176.738855,169.903813,169.085041,185.846852,183.517440,174.023584,173.192598,172.878189,173.316229,144.429036,162.382630,2539.182030,2325.470606,2134.961313,1943.885821,1965.741879,1902.110123,1616.529488,1496.630905,1183.770502,1254.914076,1482.370086,1085.332951,268.347356,418.094825,623.236445,1475.343039,1138.273181,650.458930,478.308812,280.967145,824.527105,169.863865,180.794751,146.496899,192.281696,150.546876,145.130105,105.111613,90.660915,123.031603,196.686630,190.819266,151.274623,134.801130,101.605016,130.722259,1271.673191,1230.273589,393.611007,1286.417720,1211.106727,359.766556,1379.080975,195.437504,2011.949531,2417.194923,1063.800624,174.799017,874.660902,2618.357344,2429.407830,2287.339684,2203.498497,2235.746552,1850.935094,1598.090672,1334.349706,1612.789924,1180.160613,333.152989,1559.057671,1082.631279,619.430150,458.836223,
2.000000,3.000000,111.745289,112.384025,118.572061,118.387345,132.566565,136.466983,148.765037,150.866868,151.021317,178.173953,194.911492,202.667083,199.315263,198.246955,199.700073,188.691640,187.853847,219.308389,194.433840,182.285298,173.767781,158.689079,158.635120,161.486932,188.117287,2537.546724,2316.396938,2125.541535,2005.806925,2076.086031,2178.660475,1866.923130,1689.876075,1313.548054,1394.858477,1743.770385,1127.730523,288.216621,446.659907,654.619838,1544.944471,1041.853401,573.642556,434.754663,280.988318,821.480060,175.889386,206.697659,166.628341,226.950751,158.514583,152.741466,106.879629,82.866589,122.975732,195.957669,195.755111,172.567752,155.066456,93.171872,148.179431,1269.112072,1224.763287,398.445742,1323.710768,1315.923068,403.843809,1564.597521,225.702150,2267.001661,2683.403003,1113.868380,164.135566,797.349479,2608.140564,2418.697976,2360.174506,2327.220895,2560.787738,2137.663225,1804.471271,1483.255029,1896.964651,1226.249635,357.346134,1632.670972,990.911113,546.283878,416.993452,
2.000000,4.000000,109.128096,109.762966,115.155270,114.934086,128.572773,132.323369,144.636223,146.686466,146.832863,173.604267,190.118152,197.786898,195.086226,194.227819,195.654122,185.145126,184.377359,216.526298,197.068261,185.752609,177.920506,164.040344,164.043534,157.250769,183.393532,2491.903980,2271.055447,2075.202781,1945.289676,2012.650765,2118.151532,1821.990805,1655.701415,1288.468636,1369.066842,1724.890554,1149.060151,292.882110,454.804540,667.190018,1574.382504,1077.373746,595.571417,450.199288,288.553990,801.937666,170.708855,200.970450,163.196212,223.966749,160.875378,155.585911,109.290114,85.704102,126.292460,191.282438,190.072632,167.793549,151.728089,96.328119,144.332641,1243.897391,1195.813882,387.381546,1284.148434,1279.497477,392.740446,1521.361726,220.691991,2221.442617,2633.001047,1131.390722,169.262808,824.898802,2557.088717,2361.415179,2288.968181,2256.120283,2489.674834,2086.215629,1767.981465,1455.831090,1876.425743,1249.444055,363.365864,1663.778757,1024.696504,567.165621,431.812625,
3.000000,1.000000,82.647592,83.204679,79.638604,79.418157,86.418487,83.780204,78.989359,76.603142,76.516441,86.813697,94.745689,98.755930,96.171159,96.348688,97.029792,93.661410,93.249321,95.514182,90.726222,81.543698,81.648616,80.772942,80.968385,86.296289,91.299345,1993.114062,1791.893461,1566.384172,1306.637122,1273.619222,1101.908064,909.892406,821.152838,652.465662,691.908156,746.733335,523.602214,170.091378,240.971370,309.287999,691.577080,531.768675,304.570544,244.323804,177.503696,604.715413,114.216037,105.428872,80.668174,99.372388,74.024961,67.959298,49.518970,42.359468,77.368006,144.114884,130.557022,88.551355,74.353139,47.481535,76.391415,975.994256,903.115870,276.528754,869.890993,751.481406,214.065553,809.041917,108.576379,1104.539186,1333.430855,519.999975,81.815542,408.667337,2017.576980,1782.427051,1537.544463,1427.706076,1295.203227,1041.826711,876.789471,735.652842,812.300214,569.378564,207.138049,730.870403,505.781357,290.034275,234.337501,
3.000000,2.000000,82.556832,83.112947,79.598474,79.369708,86.376943,83.945167,79.973007,77.714163,77.638393,87.271368,95.138586,99.100208,96.174958,96.274038,96.955045,93.567931,93.164958,97.541265,99.967570,91.730024,92.391581,92.152556,92.398586,86.752943,91.734958,1990.196958,1789.372501,1564.701876,1306.000458,1275.832124,1118.191133,913.022608,820.522678,651.734546,691.303614,768.235486,585.850109,184.595300,265.802732,345.799859,777.969950,606.837764,348.367298,277.240103,197.446241,604.066556,114.269232,106.883318,80.613748,101.293320,81.851928,76.433330,55.965840,48.343449,86.109712,143.961235,130.505478,89.666110,74.357986,54.176059,76.905945,974.708890,902.142058,276.312732,869.435071,759.566643,217.240868,821.121363,108.678910,1103.642171,1332.075748,576.424381,93.179915,466.490061,2014.738342,1780.512488,1536.795362,1430.192126,1314.338207,1045.412196,876.116688,735.013852,835.691032,637.066584,225.835346,822.169006,577.182171,331.741030,265.911233,
